drug_name,drug_id,disease_name,disease_id,gene_name,gene_id
selumetinib,CHEBI:90227,neurofibromatosis 1,DOID:0111253,smc1a,NCBIGene:8243
selumetinib,CHEBI:90227,neurofibromatosis 1,DOID:0111253,smc2,NCBIGene:10592
selumetinib,CHEBI:90227,neurofibromatosis 1,DOID:0111253,map2k1,NCBIGene:5604
selumetinib,CHEBI:90227,neurofibromatosis 1,DOID:0111253,map2k2,NCBIGene:5605
17alpha-ethynylestradiol,CHEBI:4903,atrophic vulva,DOID:14275,esr1,NCBIGene:2099
17alpha-ethynylestradiol,CHEBI:4903,atrophic vulva,DOID:14275,shbg,NCBIGene:6462
drospirenone,CHEBI:50838,atrophic vulva,DOID:14275,nr3c2,NCBIGene:4306
drospirenone,CHEBI:50838,atrophic vulva,DOID:14275,pgr,NCBIGene:5241
norethisterone,CHEBI:7627,atrophic vulva,DOID:14275,shbg,NCBIGene:6462
norethisterone,CHEBI:7627,atrophic vulva,DOID:14275,pgr,NCBIGene:5241
norgestimate,CHEBI:50815,atrophic vulva,DOID:14275,esr1,NCBIGene:2099
norgestimate,CHEBI:50815,atrophic vulva,DOID:14275,pgr,NCBIGene:5241
17beta-estradiol,CHEBI:16469,atrophic vulva,DOID:14275,esrrb,NCBIGene:2103
17beta-estradiol,CHEBI:16469,atrophic vulva,DOID:14275,esr1,NCBIGene:2099
17beta-estradiol,CHEBI:16469,atrophic vulva,DOID:14275,shbg,NCBIGene:6462
17beta-estradiol,CHEBI:16469,atrophic vulva,DOID:14275,esrra,NCBIGene:2101
ospemifene,CHEBI:73275,atrophic vulva,DOID:14275,esr1,NCBIGene:2099
nizatidine,CHEBI:7601,multiple endocrine neoplasia,DOID:3125,hrh2,NCBIGene:3274
rabeprazole,CHEBI:8768,multiple endocrine neoplasia,DOID:3125,atp4a,NCBIGene:495
pantoprazole,CHEBI:7915,multiple endocrine neoplasia,DOID:3125,atp4a,NCBIGene:495
cimetidine,CHEBI:3699,multiple endocrine neoplasia,DOID:3125,hrh2,NCBIGene:3274
(s)-duloxetine,CHEBI:36795,generalized anxiety disorder,MONDO:0001942,slc6a4,NCBIGene:6532
(s)-duloxetine,CHEBI:36795,generalized anxiety disorder,MONDO:0001942,slc6a2,NCBIGene:6530
(s)-duloxetine,CHEBI:36795,generalized anxiety disorder,MONDO:0001942,htr1a,NCBIGene:3350
paroxetine,CHEBI:7936,generalized anxiety disorder,MONDO:0001942,slc6a4,NCBIGene:6532
paroxetine,CHEBI:7936,generalized anxiety disorder,MONDO:0001942,slc6a2,NCBIGene:6530
paroxetine,CHEBI:7936,generalized anxiety disorder,MONDO:0001942,htr1a,NCBIGene:3350
pregabalin,CHEBI:64356,generalized anxiety disorder,MONDO:0001942,cacna2d1,NCBIGene:781
pregabalin,CHEBI:64356,generalized anxiety disorder,MONDO:0001942,cacna2d2,NCBIGene:9254
escitalopram,CHEBI:36791,generalized anxiety disorder,MONDO:0001942,slc6a4,NCBIGene:6532
escitalopram,CHEBI:36791,generalized anxiety disorder,MONDO:0001942,slc6a2,NCBIGene:6530
