drug_name,disease_name,protein_name
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
imatinib,systemic mastocytosis,"kit proto-oncogene, receptor tyrosine kinase"
imatinib,systemic mastocytosis,platelet derived growth factor receptor alpha
paracetamol,pain,prostaglandin-endoperoxide synthase 1
paracetamol,pain,prostaglandin-endoperoxide synthase 2
paracetamol,pain,prostaglandin e synthase 3
aspirin,pain,prostaglandin-endoperoxide synthase 1
aspirin,pain,prostaglandin-endoperoxide synthase 2
aspirin,thrombotic disease,prostaglandin-endoperoxide synthase 1
naproxen,pain,prostaglandin-endoperoxide synthase 2
cortisone,keratitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
pinacidil,hypertensive disorder,potassium calcium-activated channel subfamily m alpha 1
antazoline,vasomotor rhinitis,histamine receptor h1
levofloxacin,pyelonephritis,dna topoisomerase ii alpha
meloxicam,pain,prostaglandin-endoperoxide synthase 2
fluticasone,bronchitis,nuclear receptor subfamily 3 group c member 1
fluphenazine,schizophrenia,dopamine receptor d2
fluphenazine,schizophrenia,dopamine receptor d1
terfenadine,allergic contact dermatitis,histamine receptor h1
norethisterone,menorrhagia,progesterone receptor
ziprasidone,schizophrenia,dopamine receptor d2
ziprasidone,schizophrenia,5-hydroxytryptamine receptor 2a
carbinoxamine,atopic conjunctivitis,histamine receptor h1
fsh,primary ovarian failure,follicle stimulating hormone receptor
warfarin,pulmonary embolism,vitamin k epoxide reductase complex subunit 1
loratadine,allergic rhinitis,histamine receptor h1
oxymetazoline,nasal congestion,adrenoceptor alpha 1a
duloxetine,major depressive disorder,solute carrier family 6 member 4
doxylamine,allergic rhinitis,histamine receptor h1
minoxidil,alopecia,potassium inwardly rectifying channel subfamily j member 1
minoxidil,hypertensive disorder,potassium inwardly rectifying channel subfamily j member 1
sildenafil,erectile dysfunction,phosphodiesterase 5a
betamethasone,crohn disease,nuclear receptor subfamily 3 group c member 1
triamcinolone,crohn disease,nuclear receptor subfamily 3 group c member 1
gabapentin,restless legs syndrome,calcium voltage-gated channel auxiliary subunit alpha2delta 1
prednisolone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
pimozide,tourette syndrome,dopamine receptor d2
levonorgestrel,menorrhagia,progesterone receptor
dimethyl fumarate,multiple sclerosis,kelch like ech associated protein 1
protriptyline,major depressive disorder,solute carrier family 6 member 2
terguride,pulmonary hypertension,5-hydroxytryptamine receptor 2b
lafutidine,gastroesophageal reflux disease,histamine receptor h2
ospemifene,psychologic dyspareunia,estrogen receptor 1
glipizide,hyperglycemia,atp binding cassette subfamily c member 8
landiolol,tachycardia,adrenoceptor beta 1
levocabastine,atopic conjunctivitis,histamine receptor h1
acenocoumarol,pulmonary embolism,vitamin k epoxide reductase complex subunit 1
dexamethasone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
mosapramine,schizophrenia,dopamine receptor d2
thyrotropin alfa,thyroid tumor,thyroid stimulating hormone receptor
metolazone,hypertensive disorder,solute carrier family 12 member 3
